pair,locus,K,theta1,theta2,r_e,cf_slope,cf_intercept,p_gate_joint
P4,1342,110,0.193229262356761,0.171911202752993,0.02756,0.6512358263865149,0.022680890989935112,0.13115953801140695
P4,1545,256,0.16793301954091,0.696995188692988,0.02756,0.8822056875035166,0.004221586362619362,0.5599087674643045
P4,1573,301,0.0463553597303474,0.191898336508664,0.02756,0.5217852965050733,0.022629293998614276,0.10075393049626381
P4,1602,381,0.0584632325030561,0.212751362747471,0.02756,0.6252795272402847,0.017024150204360797,0.17138286551613643
P4,1664,39,0.0463490796903909,0.537913903547233,0.02756,0.390288975024004,0.026791059835035207,0.04978504044862421
P4,1689,199,0.0490347091457012,0.320946056457017,0.02756,0.5248861040982609,0.01889643437995901,0.11093852531024638
P4,1720,274,0.046354672344744,0.233417317944111,0.02756,0.5286066575310925,0.02060762577061613,0.10978161673604671
P4,1818,139,0.0463494754290321,0.192767725064503,0.02756,0.41649241954951527,0.030373305518845182,0.04777994490623784
P4,1850,251,0.0463517221242328,0.394151205652099,0.02756,0.5448877352146838,0.01485107067583459,0.1296497764032073
P4,1921,166,0.108674490417491,0.327781909696835,0.02756,0.6966959822556473,0.015398097606398268,0.21159762797420262
P4,2073,344,0.0463647434479125,0.167186138195807,0.02756,0.5254023892538271,0.02333318075599097,0.1000426190441015
P4,2081,404,0.0463603061561819,0.29927903367132,0.02756,0.5918850426870033,0.013997550492463423,0.16016531185201235
P4,2113,207,0.0914717357645482,0.380967499806819,0.02756,0.6934349308333151,0.012843387114456163,0.2243285982143819
P4,2117,389,0.143272993662809,0.443630896224679,0.02756,0.8912181947425358,0.004328624542476889,0.6004168213372911
P4,2222,436,0.0981310254022627,0.176914966340279,0.02756,0.7635325869060618,0.013316480846139121,0.3198857198726527
P4,2328,162,0.0463541927234685,0.29882893745814,0.02756,0.4827324499761206,0.02220908497261908,0.08697679773744112
P4,2370,369,0.070576716996633,0.12985508770955,0.02756,0.5964399538797872,0.023082169146766078,0.1263849474700643
P4,2400,308,0.0463765865879553,0.216887911260009,0.02756,0.5382520040545313,0.020491338577307006,0.11460161614546759
P4,2411,222,0.0463538174187949,0.253636351931727,0.02756,0.5078754140857445,0.02152005796449362,0.09833196816213102
P4,2446,225,0.0658050757480766,0.302318577758738,0.02756,0.6068017599136775,0.016911812846062312,0.1530292135675749
P1,34,274,0.128500780448603,0.393235583029953,0.21388,0.8210203030622686,0.06003876542251636,0.41810978070930754
P1,37,241,0.335818586258682,0.398518647940064,0.21388,0.9847753596772926,0.008483505496002297,0.9263089118852755
P1,42,192,0.129848348484159,0.401932622845577,0.21388,0.7779844947161912,0.07993045061277074,0.3264865956953484
P1,77,227,0.157357029578933,0.398078586216597,0.21388,0.8488839656825103,0.05673791189570727,0.4694767856087355
P1,95,359,0.128055737831994,0.397959562852777,0.21388,0.8537364699842867,0.0462716009053334,0.49976227565204967
P1,99,295,0.129200282026362,0.399539513057045,0.21388,0.831940131831369,0.05513530337638726,0.4435653393751396
P1,111,184,0.176161616570063,0.401600870848101,0.21388,0.8490481900313157,0.06188649677396785,0.4588595085650957
P1,118,224,0.128530773032075,0.397856800774297,0.21388,0.7953854414317642,0.07124376891997575,0.3620237648645035
P1,123,290,0.233980071400803,0.389922050387047,0.21388,0.9578513846846689,0.01855445321745081,0.8157722065328238
P1,137,317,0.235902958735251,0.398813174710227,0.21388,0.9662752900146598,0.014503964506043526,0.8517887501002153
P1,172,263,0.128137217923313,0.48018967434447,0.21388,0.817101234902198,0.0551572765990794,0.40955206399973354
P1,186,460,0.129502511135946,0.399375701624832,0.21388,0.8861158616231426,0.03482691836818615,0.591403353626046
P1,199,294,0.129508445464523,0.401550826986195,0.21388,0.8321949463730616,0.05497696339112015,0.44399265941648847
P1,228,283,0.293047956406353,0.401185328253254,0.21388,0.9828469235656414,0.008577783032361272,0.9200587631290378
P1,275,451,0.208211450782676,0.401874118307425,0.21388,0.9740055875801251,0.009958959656223827,0.8895607499808088
P1,336,266,0.483380322228383,0.397101825917662,0.21388,0.9973528577804646,0.0014829565427008267,0.9867684675731645
