"K","theta1","theta2","r_e","rho_true","n_rep","frac_estimable","frac_gated","frac_capped_of_gated","frac_plim_of_gated","mean_A","mean_B","mean_C","mean_D","med_A","med_C","n_A","n_B","n_C","n_D","pair","locus"
195,0.190350005963255,0.586266872354187,0.02756,-0.2,4000,0.95075,0.5515,0.000906618313689937,0,-0.253255126373147,-0.216596593295012,-0.181249252014086,-0.181161263555886,-0.217028767774239,-0.183190113585565,3803,3722,2206,2206,"P4",369
195,0.190350005963255,0.586266872354187,0.02756,0,4000,0.9535,0.5465,0.000457456541628545,0,-0.00308451166508353,-0.00330309551670799,0.00612451171778263,0.0060458335842048,-0.00333258586792127,0.00283250799213322,3814,3777,2186,2186,"P4",369
195,0.190350005963255,0.586266872354187,0.02756,0.2,4000,0.9505,0.5355,0.000466853408029879,0,0.245322795766258,0.210741149108084,0.192883116681389,0.192810717640529,0.216290587583572,0.191674501022948,3802,3730,2142,2142,"P4",369
195,0.190350005963255,0.586266872354187,0.02756,0.4,4000,0.95675,0.56225,0.00844819919964429,0.000889284126278346,0.468908905559707,0.406182126904761,0.362906109567418,0.361321462086596,0.416953725051665,0.355834584760665,3827,3694,2249,2247,"P4",369
195,0.190350005963255,0.586266872354187,0.02756,0.6,4000,0.9485,0.55075,0.0381298229686791,0.00453926463912846,0.723145215170577,0.590629431389476,0.544663119048902,0.537921199220161,0.620035837748352,0.541792120321953,3794,3492,2203,2193,"P4",369
195,0.190350005963255,0.586266872354187,0.02756,0.8,4000,0.95425,0.554,0.120036101083032,0.0203068592057762,0.961708099152326,0.736876790464997,0.73282221417391,0.707731709904833,0.826230453264839,0.727943566246032,3817,3199,2216,2171,"P4",369
584,0.1039620797188,0.179756939803765,0.02756,-0.8,4000,0.94625,0.4735,0.111404435058078,0.0496304118268215,-1.0065387691894,-0.686908391508824,-0.698781361185411,-0.647562379784176,-0.831418997560268,-0.674946516837221,3785,2997,1894,1800,"P4",383
584,0.1039620797188,0.179756939803765,0.02756,-0.6,4000,0.9435,0.4655,0.0504833512352309,0.0150375939849624,-0.753552111894599,-0.549022703146475,-0.516897721000262,-0.498103832762836,-0.622004160534467,-0.499483460413949,3774,3328,1862,1834,"P4",383
584,0.1039620797188,0.179756939803765,0.02756,-0.4,4000,0.9485,0.4685,0.0224119530416222,0.00533617929562433,-0.499783608646005,-0.385023310586306,-0.345581903255302,-0.337983036791551,-0.417896416803977,-0.333320363318882,3794,3534,1874,1864,"P4",383
584,0.1039620797188,0.179756939803765,0.02756,-0.2,4000,0.944,0.4755,0.00315457413249211,0.00157728706624606,-0.260725035541413,-0.195525362444261,-0.172106696978512,-0.170057788726163,-0.205988678221161,-0.165922278361792,3776,3628,1902,1899,"P4",383
584,0.1039620797188,0.179756939803765,0.02756,0,4000,0.94475,0.4565,0.00273822562979189,0,-0.0247423279708522,-0.0120558043245225,-0.00534857746745546,-0.00537414988481954,-0.015364754445413,-0.00783838981710015,3779,3686,1826,1826,"P4",383
584,0.1039620797188,0.179756939803765,0.02756,0.2,4000,0.94325,0.47175,0.00423953365129836,0,0.207931165122959,0.183639480296261,0.174225002706082,0.174107516027507,0.19436414726568,0.173849680088081,3773,3651,1887,1887,"P4",383
