locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
971,6,309,0.00342497,1.07992e-06,0.18537892301936362,0.43074805886764805,0.920849255587334,0.014687303507279809,False,0.0567018,0.045625813603902624,0.045625813603902624,-0.51752,0.56057,1.07809,1.1707562268836011
973,6,353,0.000452269,0.000239263,0.2575639864265454,0.2770714518013384,0.9700875279705621,0.008204302901333562,False,0.1736,0.1704956432587859,0.1704956432587859,-0.36263,0.69914,1.06177,1.09450948433616
980,6,323,0.000164966,0.0026762,0.30119786702524715,0.1952041098997146,0.9267009234048734,0.017286619464020846,False,0.326931,0.33413625983913725,0.33413625983913725,-0.2231,0.95073,1.17383,1.2666761954732144
986,6,276,0.0449485,0.011193,0.0,0.09165522411660061,0.0,0.16248007132401251,True,-0.18676,-1.0,-inf,-1.0,0.69232,1.69232,
990,6,158,0.0264635,0.00158722,0.0,0.31823034582448256,0.0,0.10362202851918029,True,-0.073624,-1.0,-inf,-1.0,0.72481,1.72481,
995,6,152,0.00445326,0.00761611,0.23918838050876767,0.1777420341110071,0.7557750600993568,0.06282663496849523,False,0.271941,0.27668862876212647,0.27668862876212647,-0.51857,1.0,1.51857,2.0092883189349533
996,6,239,0.00608435,2.53557e-05,0.16499517312602752,0.41229679967169514,0.8656259926578388,0.025451139942044957,False,0.106073,0.09313706004877667,0.09313706004877667,-0.5525,0.69111,1.2436099999999999,1.4366597243476826
997,6,136,0.00529922,0.00184216,0.23359657419060853,0.3328519833747169,0.8487324086964286,0.040146964067895,False,-0.184758,-0.264989249571991,-0.264989249571991,-1.0,0.46431,1.46431,1.725290545048279
998,6,96,0.00249274,0.000580468,0.36946126431013515,0.4968101538776999,0.9273183202652283,0.021364127790164292,False,0.303557,0.3043106838751163,0.3043106838751163,-0.34518,0.99798,1.34316,1.448434664394244
1000,6,175,0.0125784,0.00842755,0.09302426757043698,0.15337116008541576,0.5537360386054303,0.10582334266089959,False,0.253708,0.26706706269569164,0.26706706269569164,-0.60168,1.0,1.60168,2.892497306178209
1001,6,198,0.0197408,0.000285114,0.0,0.36814972416424985,0.0,0.08750710206313794,True,-0.301208,-1.0,-inf,-1.0,0.33123,1.3312300000000001,
1004,6,177,3.72183e-06,2.3963e-08,0.5494498553677739,0.6940739433468524,0.9989970156019207,0.00030759333892641644,False,0.125579,0.12539717807424522,0.12539717807424522,-0.25525,0.48316,0.73841,0.7391513572791703
1022,6,333,0.00273794,3.0547e-05,0.191107036410728,0.3406443693232444,0.9311374628496603,0.01480791247530358,False,-0.08541,-0.10762955683105684,-0.10762955683105684,-0.76539,0.41741,1.1828,1.2702743120013127
1026,6,352,0.0074525,0.0190136,0.12146525618007807,0.004288895226696545,0.15428620209666902,0.1379863908851576,False,0.166874,0.1872339115376155,0.1872339115376155,-0.8056,1.0,1.8056,11.702925961381107
1033,6,166,0.00615692,0.000313303,0.1955612145374554,0.40025915414786406,0.857913789219745,0.03183117746053545,False,-0.825317,-0.9991075889339581,-0.9991075889339581,-1.0,-0.26827,0.73173,0.852917867966073
1045,6,271,0.0101331,0.00150339,0.1046116597119158,0.2438157313972367,0.7313717882206673,0.05679177804149778,False,0.090634,0.04627225510138416,0.04627225510138416,-0.73793,0.82429,1.56222,2.1360134820084853
1046,6,182,0.0187075,0.0020806,0.008498894781238388,0.2779891309068363,0.2204285572823852,0.1038974550977366,False,-0.193097,-1.0,-1.3473501744026064,-1.0,0.54008,1.5400800000000001,6.986753526799363
1049,6,119,4.87087e-05,0.0398938,0.5771123472754123,0.0,0.0,0.07823822576940516,True,0.158333,1.0,inf,-0.67773,1.0,1.67773,
1052,6,273,0.00428071,1.1902e-05,0.18193934229672423,0.4034959054732476,0.9032260809784187,0.01889918713923404,False,0.476369,0.5064842817262454,0.5064842817262454,-0.02081,1.0,1.02081,1.130182156491992
1054,6,418,0.01266,0.00813827,0.06310363871660583,0.10545739335175763,0.547369640768678,0.10332024247039356,False,-0.141191,-0.4467022360374671,-0.4467022360374671,-1.0,0.5767,1.5767,2.8805031966804377
1056,6,242,0.000106059,0.000729902,0.365532127866467,0.2929009846360213,0.9688187740076211,0.00850883871907268,False,-0.127638,-0.14052869573933516,-0.14052869573933516,-0.78155,0.36486,1.14641,1.1833069617940557
1057,6,301,0.0352363,0.00143378,0.0,0.23340652911229895,0.0,0.10244665370307093,True,0.0480522,-1.0,-inf,-1.0,0.88264,1.8826399999999999,
1059,6,377,0.0108309,0.0173528,0.08345750715091123,0.020791628860727655,0.2969925039377792,0.1455306559433099,False,0.0962281,-0.16600606173426835,-0.16600606173426835,-0.95434,1.0,1.95434,6.580435445634816
1063,6,429,0.00237548,0.00207475,0.175444615387712,0.18122325795400687,0.8899938035288187,0.028232445459061475,False,0.00584362,-0.02515615880727478,-0.02515615880727478,-0.74132,0.60657,1.34789,1.5144936904679858
1064,6,277,0.00233697,3.16516e-05,0.21828750236767194,0.37476946100470393,0.9395540580856871,0.013522621250051521,False,0.180294,0.17750056775843223,0.17750056775843223,-0.38294,0.72849,1.11143,1.1829335315357
1066,6,297,0.000315301,0.0326687,0.29391022243243564,0.0,0.0,0.08849455232280805,True,-0.0987092,-1.0,-inf,-1.0,0.59887,1.59887,
1067,6,525,6.38924e-05,0.000177627,0.2550007570343894,0.23358563148575884,0.9844847553962828,0.004150934582651749,False,-0.0793002,-0.08476630453161292,-0.08476630453161292,-0.61989,0.3553,0.97519,0.9905587614786971
1072,6,382,5.79656e-05,0.00515297,0.30225271502304357,0.14339068532635474,0.8807073981278721,0.023605293197506816,False,-0.480865,-0.5728012439430666,-0.5728012439430666,-1.0,0.01951,1.01951,1.1576035379822878
1079,6,461,0.00441033,6.52245e-07,0.1401761998003569,0.35592041974132715,0.8996068605005627,0.017275944316060703,False,-0.033486,-0.056426808803809646,-0.056426808803809646,-0.645,0.44594,1.09094,1.2126852827611552
1087,6,512,0.0180511,4.9127e-07,0.013014556434610296,0.34114971999719457,0.34207311016656894,0.06274890848411664,False,0.01758,-0.13204460433070028,-0.13204460433070028,-0.67978,0.56856,1.24834,3.6493368315098893
1088,6,329,0.000321997,4.45277e-06,0.2780931138637947,0.38678298662073607,0.9844869986053432,0.003844176268480404,False,-0.0740969,-0.0791692286225154,-0.0791692286225154,-0.61984,0.35642,0.9762599999999999,0.9916433649027382
1093,6,322,0.0470892,0.00307912,0.0,0.1878138630202898,0.0,0.11492501712674882,True,-0.208057,-1.0,-inf,-1.0,0.59943,1.59943,
1094,7,189,0.00460407,0.000351146,0.2116183868288933,0.3682508493375847,0.8874712014001429,0.026732490519889206,False,0.526097,0.56268249458943,0.56268249458943,-0.02643,1.0,1.02643,1.156578375028536
1095,7,320,0.00016515,0.00218199,0.30263199000812624,0.20666306594451386,0.9362796934705379,0.01544154092508152,False,-0.442149,-0.4887327409920812,-0.4887327409920812,-1.0,0.06948,1.06948,1.1422655083287392
1096,7,413,4.33193e-09,8.08468e-05,0.4577427244815703,0.2826752900119088,0.9938035396516621,0.0013747478075658043,False,-0.15699,-0.1593521671929989,-0.1593521671929989,-0.58768,0.19806,0.78574,0.7906391642310004
