rho,n_gate_pass,gate_rate,n_nonfinite,n_paramlim_dropped,paramlim_drop_frac,n_reported,mean_rho_hat,se_mean,median_rho_hat,mean_rho_hat_ungated,mean_h2_1_gated,mean_h2_2_gated,scenario
0.6,29573,0.147865,0,202,0.006830554898048896,29371,0.43690762912024733,0.0017848910365659506,0.4414934049312224,0.45826456006058397,0.19240186272993934,0.257429602906788,S4_overlap_re10
0.7,29939,0.149695,0,390,0.013026487190620929,29549,0.4940983776953877,0.0017313074373198364,0.5045728519327257,0.5245123781376924,0.19250566267828492,0.2567596132230846,S4_overlap_re10
0.8,29752,0.14876,0,567,0.01905754235009411,29185,0.5494308049112618,0.0016848917135485841,0.5624715944645506,0.5840647307637603,0.19158227414094525,0.2564983739541534,S4_overlap_re10
0.9,30041,0.150205,0,889,0.029592889717386238,29152,0.6022916832052386,0.0016278769076358561,0.6205298598820275,0.6420318175493505,0.19192072973762964,0.25705854589197097,S4_overlap_re10
0.0,10191,0.050955,0,26,0.002551270729074674,10165,0.0009432125970095498,0.0038588778808650607,0.003869952452094416,0.0030097911774095145,0.32977283416688613,0.376652822668037,S5_smallK
0.1,10147,0.050735,0,21,0.0020695772149403767,10126,0.04459185477826784,0.0038865633709210946,0.04517808848493524,0.04874102614716959,0.32851741517148203,0.37806273016831443,S5_smallK
0.2,10052,0.05026,0,22,0.0021886191802626344,10030,0.09334728894741214,0.0038605765956875268,0.09486389469597653,0.09563380611778168,0.3304096172478542,0.3758383358061784,S5_smallK
0.3,10122,0.05061,0,32,0.0031614305473226635,10090,0.13562822425745405,0.003910393504319181,0.13565335210881416,0.14080507902853268,0.3301611688483024,0.3789017845290059,S5_smallK
0.4,10175,0.050875,0,37,0.0036363636363636364,10138,0.18098087825015868,0.00386793469373088,0.18424846568846193,0.1882432811391198,0.3294383759037068,0.3764125759155679,S5_smallK
0.5,10062,0.05031,0,60,0.005963029218843173,10002,0.22916320243240132,0.003867974738646744,0.23554251682735697,0.232849044283187,0.32947731211859926,0.3791420076253092,S5_smallK
0.6,10145,0.050725,0,90,0.008871365204534253,10055,0.2772452526608814,0.003757276563679446,0.2860240265360005,0.28151113986362786,0.3294808068229491,0.37743922768016813,S5_smallK
0.7,9978,0.04989,0,99,0.009921828021647625,9879,0.3164591102142361,0.0037193487085230553,0.32747187455708754,0.3205185383877085,0.3289341789327637,0.37729223264313017,S5_smallK
0.8,10084,0.05042,0,134,0.013288377627925426,9950,0.36075961719848165,0.003694080693430074,0.36861542763828814,0.36717335875366147,0.3298002015336341,0.37740720204747197,S5_smallK
