scenario,rho,v2,sim_with_paramlim,sim_no_paramlim,drop_frac,err_vs_LAVA,err_vs_gateonly,paramlim_effect
H3_overlap_high,-0.6,-0.20449174203998882,-0.21506169715800583,-0.21836294495084205,0.004205741751782868,-0.010569955118017005,-0.013871202910853225,0.0033012477928362205
H3_overlap_high,-0.3,-0.02241557378136588,-0.03205926897452173,-0.03293214142597725,0.0009017829537256519,-0.00964369519315585,-0.010516567644611372,0.0008728724514555225
H3_overlap_high,0.0,0.1596605944772571,0.15589489128188214,0.1561705263666963,0.0006896727885769751,-0.0037657031953749753,-0.0034900681105608233,-0.000275635084814152
H3_overlap_high,0.2,0.2810447066496724,0.2788584441437745,0.2797801088797825,0.0013486348253136213,-0.002186262505897929,-0.001264597769889908,-0.000921664736008021
H3_overlap_high,0.45,0.4327748468651916,0.4273767056736701,0.43044365879370394,0.005355969885301399,-0.005398141191521488,-0.002331188071487633,-0.003066953120033855
H3_overlap_high,0.7,0.5845049870807107,0.5675155473918466,0.5752075115010064,0.01778552746294682,-0.016989439688864127,-0.009297475579704395,-0.007691964109159732
H3_overlap_high,0.9,0.705889099253126,0.6689296269794215,0.6833892715863541,0.04367544119096914,-0.03695947227370455,-0.022499827666771943,-0.014459644606932609
H4_overlap_mid_bigK,-0.6,-0.4379693483053757,-0.44534276639022,-0.45159202672592974,0.011300872777997701,-0.007373418084844319,-0.013622678420554035,0.0062492603357097165
H4_overlap_mid_bigK,-0.3,-0.20035281276685837,-0.21093942815276975,-0.21205406742515112,0.0014126155990431884,-0.01058661538591138,-0.011701254658292748,0.001114639272381368
H4_overlap_mid_bigK,0.0,0.037263722771658965,0.03397625716104094,0.033932775140722626,0.00016972005619619637,-0.0032874656106180247,-0.0033309476309363387,4.348202031831394e-05
H4_overlap_mid_bigK,0.2,0.19567474646400387,0.1990334145537349,0.19948326520688595,0.0005616347314917955,0.0033586680897310373,0.003808518742882072,-0.0004498506531510349
H4_overlap_mid_bigK,0.45,0.393688526079435,0.398767569781992,0.4010786113214,0.003843840457125672,0.005079043702557018,0.007390085241964994,-0.0023110415394079764
H4_overlap_mid_bigK,0.7,0.591702305694866,0.5868894901384764,0.5956147039412144,0.02112077421042307,-0.004812815556389682,0.00391239824634837,-0.008725213802738052
H4_overlap_mid_bigK,0.9,0.7501133293872111,0.7138368935340498,0.7321302183018367,0.06392621674298024,-0.036276435853161315,-0.017983111085374426,-0.01829332476778689
H5_tinyK,-0.6,-0.34412654814556426,-0.3466571833127429,-0.3563521314365105,0.01525982952983228,-0.002530635167178663,-0.012225583290946251,0.009694948123767588
H5_tinyK,-0.3,-0.17206327407278213,-0.17216962275473993,-0.17575290324086762,0.004885242879528067,-0.0001063486819578019,-0.00368962916808549,0.003583280486127688
H5_tinyK,0.0,0.0,-0.002284811438758427,-0.002188852932440229,0.0020100502512562816,-0.002284811438758427,-0.002188852932440229,-9.595850631819803e-05
H5_tinyK,0.2,0.11470884938185477,0.11154926066345595,0.11361043767835671,0.003246307896301038,-0.0031595887183988175,-0.001098411703498059,-0.0020611770149007586
H5_tinyK,0.45,0.2580949111091732,0.25821177565495096,0.26448329079165345,0.009068951374014492,0.00011686454577775063,0.006388379682480239,-0.006271515136702488
H5_tinyK,0.7,0.4014809728364916,0.4013379522494873,0.41438387366043944,0.021946476525604223,-0.00014302058700427223,0.01290290082394785,-0.013045921410952122
H5_tinyK,0.9,0.5161898222183464,0.49990069249380037,0.5182943223607023,0.036963817755505494,-0.016289129724546048,0.0021045001423558585,-0.018393629866901906
H6_negative_rho,-0.6,-0.368004872993418,-0.3718305606018007,-0.37627360576106467,0.007073004321128042,-0.0038256876083826996,-0.00826873276764667,0.00444304515926397
H6_negative_rho,-0.3,-0.184002436496709,-0.1905365112066379,-0.19185628863401838,0.0016304347826086956,-0.006534074709928894,-0.00785385213730938,0.0013197774273804863
H6_negative_rho,0.0,0.0,-0.0004725110658876556,-0.0004723398545949006,0.0003623434563036438,-0.0004725110658876556,-0.0004723398545949006,-1.7121129275497575e-07
H6_negative_rho,0.2,0.12266829099780599,0.12745860417041519,0.12822632944216067,0.0010345215337906218,0.004790313172609195,0.005558038444354679,-0.0007677252717454841
H6_negative_rho,0.45,0.27600365474506344,0.28020719804971345,0.2824798349382149,0.0031573487291671363,0.004203543304650004,0.006476180193151437,-0.0022726368885014336
H6_negative_rho,0.7,0.4293390184923209,0.43122871528746576,0.43741706286428933,0.010880203946919173,0.0018896967951448351,0.008078044371968407,-0.006188347576823572
H6_negative_rho,0.9,0.5520073094901269,0.5431530325714109,0.5547689255327236,0.025426223198315483,-0.008854276918715986,0.0027616160425967262,-0.011615892961312713
