"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
436,351,0.141239651255829,0.339491885903141,49.575117590796,0.11322,-0.4,2000,1101,2,1099,0.5505,-0.341838054869882,0.00815858425351846
436,351,0.141239651255829,0.339491885903141,49.575117590796,0.11322,-0.2,2000,1128,2,1126,0.564,-0.152337603488455,0.00830513411328123
436,351,0.141239651255829,0.339491885903141,49.575117590796,0.11322,0,2000,1029,0,1029,0.5145,0.0118354781642371,0.00860761788181015
436,351,0.141239651255829,0.339491885903141,49.575117590796,0.11322,0.2,2000,1127,0,1127,0.5635,0.206329541374445,0.00789304956508317
436,351,0.141239651255829,0.339491885903141,49.575117590796,0.11322,0.4,2000,1110,1,1109,0.555,0.385120528406673,0.00769130275222807
436,351,0.141239651255829,0.339491885903141,49.575117590796,0.11322,0.6,2000,1124,7,1117,0.562,0.564137961387645,0.00713731337774921
436,351,0.141239651255829,0.339491885903141,49.575117590796,0.11322,0.8,2000,1104,42,1062,0.552,0.723879822975518,0.00640970328045486
456,269,0.179393815681409,0.563141492227313,48.2569364182989,0.11322,-0.8,2000,1240,40,1200,0.62,-0.714177794083333,0.00592190341898574
456,269,0.179393815681409,0.563141492227313,48.2569364182989,0.11322,-0.6,2000,1234,4,1230,0.617,-0.556574742926829,0.00661684806677631
456,269,0.179393815681409,0.563141492227313,48.2569364182989,0.11322,-0.4,2000,1247,2,1245,0.6235,-0.354236992017671,0.00658330124910402
456,269,0.179393815681409,0.563141492227313,48.2569364182989,0.11322,-0.2,2000,1263,0,1263,0.6315,-0.189317992437055,0.00695068205250547
456,269,0.179393815681409,0.563141492227313,48.2569364182989,0.11322,0,2000,1263,0,1263,0.6315,0.0134893834002375,0.00662749463185686
456,269,0.179393815681409,0.563141492227313,48.2569364182989,0.11322,0.2,2000,1254,0,1254,0.627,0.199564741192982,0.00672466750554961
456,269,0.179393815681409,0.563141492227313,48.2569364182989,0.11322,0.4,2000,1210,1,1209,0.605,0.394761571885856,0.00664279467040834
456,269,0.179393815681409,0.563141492227313,48.2569364182989,0.11322,0.6,2000,1264,3,1261,0.632,0.561226696589215,0.00628378541269967
456,269,0.179393815681409,0.563141492227313,48.2569364182989,0.11322,0.8,2000,1260,16,1244,0.63,0.737228692041801,0.00540504558714568
481,427,0.141509480932019,0.529848412206062,60.4245483579721,0.11322,-0.8,2000,1220,28,1192,0.61,-0.703541941610738,0.00580567291686392
481,427,0.141509480932019,0.529848412206062,60.4245483579721,0.11322,-0.6,2000,1264,1,1263,0.632,-0.531814092953286,0.00609343650326572
481,427,0.141509480932019,0.529848412206062,60.4245483579721,0.11322,-0.4,2000,1268,0,1268,0.634,-0.356921057273659,0.00634706148999172
481,427,0.141509480932019,0.529848412206062,60.4245483579721,0.11322,-0.2,2000,1249,0,1249,0.6245,-0.178927128626101,0.00626005825817046
481,427,0.141509480932019,0.529848412206062,60.4245483579721,0.11322,0,2000,1257,0,1257,0.6285,0.0136786636428003,0.00604507554841204
481,427,0.141509480932019,0.529848412206062,60.4245483579721,0.11322,0.2,2000,1271,0,1271,0.6355,0.189308065810858,0.00585104218634305
481,427,0.141509480932019,0.529848412206062,60.4245483579721,0.11322,0.4,2000,1263,0,1263,0.6315,0.375575636571655,0.00581067085478384
481,427,0.141509480932019,0.529848412206062,60.4245483579721,0.11322,0.6,2000,1243,1,1242,0.6215,0.566578928760064,0.00561944172577852
481,427,0.141509480932019,0.529848412206062,60.4245483579721,0.11322,0.8,2000,1241,7,1234,0.6205,0.735091773662885,0.00516559603395082
517,183,0.143797362599994,0.340558892507859,26.3149173557989,0.11322,-0.8,2000,645,22,623,0.3225,-0.569673602889246,0.011875089413003
517,183,0.143797362599994,0.340558892507859,26.3149173557989,0.11322,-0.6,2000,663,9,654,0.3315,-0.425025854250765,0.0121717013245727
517,183,0.143797362599994,0.340558892507859,26.3149173557989,0.11322,-0.4,2000,654,3,651,0.327,-0.287655911323195,0.0126707910154828
517,183,0.143797362599994,0.340558892507859,26.3149173557989,0.11322,-0.2,2000,650,0,650,0.325,-0.121596995930769,0.0124735401071591
517,183,0.143797362599994,0.340558892507859,26.3149173557989,0.11322,0,2000,688,1,687,0.344,0.0601131753799127,0.0120522640737667
517,183,0.143797362599994,0.340558892507859,26.3149173557989,0.11322,0.2,2000,665,0,665,0.3325,0.199871096706767,0.0125570065254767
517,183,0.143797362599994,0.340558892507859,26.3149173557989,0.11322,0.4,2000,684,1,683,0.342,0.382540780578331,0.0115227403099145
517,183,0.143797362599994,0.340558892507859,26.3149173557989,0.11322,0.6,2000,699,7,692,0.3495,0.539824594205202,0.0104448147080159
517,183,0.143797362599994,0.340558892507859,26.3149173557989,0.11322,0.8,2000,652,32,620,0.326,0.661561727096774,0.0102790566921437
541,259,0.200793678119879,0.34072174157307,52.0055626330486,0.11322,-0.8,2000,1322,107,1215,0.661,-0.692337127061728,0.00674748364136799
541,259,0.200793678119879,0.34072174157307,52.0055626330486,0.11322,-0.6,2000,1268,24,1244,0.634,-0.546535879991961,0.00760307017102879
541,259,0.200793678119879,0.34072174157307,52.0055626330486,0.11322,-0.4,2000,1309,3,1306,0.6545,-0.368414366448698,0.00797505947377321
541,259,0.200793678119879,0.34072174157307,52.0055626330486,0.11322,-0.2,2000,1300,1,1299,0.65,-0.180869317944573,0.0076387724787378
541,259,0.200793678119879,0.34072174157307,52.0055626330486,0.11322,0,2000,1299,1,1298,0.6495,0.0187229998420647,0.00784670780466552
541,259,0.200793678119879,0.34072174157307,52.0055626330486,0.11322,0.2,2000,1303,0,1303,0.6515,0.214836403626247,0.00769657547300924
541,259,0.200793678119879,0.34072174157307,52.0055626330486,0.11322,0.4,2000,1303,1,1302,0.6515,0.393015575882488,0.00755251565338025
541,259,0.200793678119879,0.34072174157307,52.0055626330486,0.11322,0.6,2000,1305,10,1295,0.6525,0.582685970833977,0.00709806387633734
541,259,0.200793678119879,0.34072174157307,52.0055626330486,0.11322,0.8,2000,1329,57,1272,0.6645,0.73971939913522,0.00605325975487325
545,247,0.176154908071202,0.387024267286541,43.5102622935869,0.11322,-0.8,2000,1148,69,1079,0.574,-0.679197799823911,0.00734480909709397
545,247,0.176154908071202,0.387024267286541,43.5102622935869,0.11322,-0.6,2000,1134,14,1120,0.567,-0.530156951944643,0.00776166424986115
545,247,0.176154908071202,0.387024267286541,43.5102622935869,0.11322,-0.4,2000,1164,2,1162,0.582,-0.341899434939759,0.00806468314382468
