locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
129,1,295,0.000752056,1.24045e-08,0.26328598551253446,0.5317657190303275,0.9748744380040917,0.009866792011846561,False,0.255082,0.2515351705089268,0.2515351705089268,-0.18668,0.6687,0.85538,0.877425816755706
130,1,275,0.0140027,0.000262521,0.06043673175252593,0.31228472906843646,0.6105918602497206,0.11927840559150471,False,0.0282085,-0.1491502123108206,-0.1491502123108206,-0.90775,0.61731,1.5250599999999999,2.4976749597943857
131,1,179,0.000242334,0.0480786,0.39580863024376256,0.0,0.0,0.16958904593557006,True,0.719778,1.0,inf,0.08942,1.0,0.91058,
132,1,243,0.00104314,0.00592928,0.2759404899191368,0.16598820796716549,0.8436633657306071,0.0729779674142729,False,0.65759,0.6929446700337129,0.6929446700337129,0.09832,1.0,0.90168,1.0687675163175432
134,1,225,0.000134816,0.001066,0.37171444227553124,0.28604312084195777,0.9606981394215988,0.020751783998640503,False,0.282436,0.272389635477914,0.272389635477914,-0.31096,0.78267,1.09363,1.138370061441396
136,1,267,0.0291519,0.00244536,0.0,0.2197489769024247,0.0,0.21691840090511427,True,0.510393,1.0,inf,-0.24465,1.0,1.24465,
137,1,317,0.00263492,0.0084102,0.1978460535491977,0.11643447251938124,0.7577807326733415,0.11041146279698144,False,0.583311,0.6240585393807745,0.6240585393807745,-0.01923,1.0,1.01923,1.3450196818864781
138,1,334,0.0106801,3.70098e-13,0.08954737543379235,0.6627327647265052,0.7450540023212782,0.05593229934222609,False,0.404326,0.4676086559797332,0.4676086559797332,-0.01081,0.95592,0.96673,1.2975301078687875
139,1,241,0.000130793,0.00317966,0.3593429760332011,0.2145570681689761,0.9196726626436225,0.03675397377533336,False,0.201411,0.1790387307494341,0.1790387307494341,-0.44737,0.73641,1.18378,1.2871753701987774
140,1,235,0.0398832,0.000993929,0.0,0.28307744620165676,0.0,0.19237257496345367,True,0.201364,1.0,inf,-0.78123,1.0,1.7812299999999999,
142,1,161,2.03511e-06,0.02659,0.5994397839521882,0.0,0.0,0.1373744197871061,True,0.0974899,-1.0,-inf,-0.75309,0.72902,1.48211,
144,1,165,0.00011002,0.00879025,0.44818904892343053,0.15195956725659557,0.8014905927679132,0.07357582203301505,False,0.0417837,-0.03966624476928959,-0.03966624476928959,-0.79401,0.63332,1.42733,1.7808443578492636
145,1,217,0.00580585,0.0122652,0.17727485048755426,0.08851548370979574,0.6040560396161027,0.17786729899689604,False,0.755421,0.9561260266020322,0.9561260266020322,0.14843,1.0,0.8515699999999999,1.409753307890441
148,1,161,0.0233532,0.033622,0.0,0.0,0.0,0.42776000000000003,True,0.674383,1.0,inf,-0.20469,1.0,1.20469,
150,1,215,0.00334698,0.0161127,0.22344249833803723,0.04081195764860586,0.46186787151860187,0.19099654949965014,False,0.145106,-0.09935860952779409,-0.09935860952779409,-0.90769,0.87452,1.78221,3.858700961684496
151,1,248,0.000148823,0.00532098,0.3495810703830348,0.173588583878674,0.8764140406555653,0.05173937291904513,False,0.416057,0.41569122604247893,0.41569122604247893,-0.17521,1.0,1.17521,1.340930137450711
152,1,290,7.08838e-05,8.72657e-07,0.3436875139209903,0.45056976520214687,0.9939889787547731,0.003122885288630483,False,0.19742,0.19547210166734108,0.19547210166734108,-0.24366,0.56716,0.81082,0.8157233302684711
153,1,203,0.00703691,0.000646692,0.16350620452187747,0.3268913183456764,0.8289124219283779,0.07525546635310525,False,-0.0177184,-0.11216367844604293,-0.11216367844604293,-0.97874,0.57929,1.55803,1.879607493847669
154,1,253,2.45809e-08,0.000821468,0.5653271555137731,0.28108684883232365,0.9735932542503489,0.010579665935051105,False,0.226913,0.22220093773299823,0.22220093773299823,-0.22097,0.63349,0.85446,0.8776354974418147
156,1,528,0.00269526,3.29954e-05,0.15399485358078374,0.2669179812160509,0.9304273538461567,0.028610357472210853,False,0.288284,0.2790907226172602,0.2790907226172602,-0.26553,0.7943,1.05983,1.139078720782364
157,1,325,8.66868e-07,2.2261e-06,0.4235467900153622,0.40413065525164216,0.9988573972083135,0.0006857363363573197,False,0.13684,0.13631001186373298,0.13631001186373298,-0.26385,0.47359,0.73744,0.7382835648622679
158,1,313,0.0196598,0.00197108,0.0,0.21399859439156424,0.0,0.20994642411375844,True,0.377065,1.0,inf,-0.43132,1.0,1.43132,
159,1,452,0.00476144,3.64703e-06,0.13720175909526933,0.3304183356321426,0.8918688282260401,0.03785820514812769,False,0.239433,0.22601394787259468,0.22601394787259468,-0.31478,0.7369,1.05168,1.179186856537895
161,1,408,1.6478e-05,3.39746e-08,0.31918341274842593,0.4288273671312056,0.9975593115774872,0.0012050445962563498,False,0.0830455,0.08204069116885442,0.08204069116885442,-0.32275,0.42492,0.7476700000000001,0.7494992942501579
162,1,321,0.00415764,1.91392e-07,0.17009316417572262,0.4563508204034003,0.9064416139429807,0.031570871116568304,False,0.321488,0.31984093009841535,0.31984093009841535,-0.16938,0.81992,0.9893,1.0914106157335262
163,1,469,0.00104506,0.0438603,0.19829759217532344,0.0,0.0,0.19411317642284825,True,0.488933,1.0,inf,-0.27369,1.0,1.27369,
164,1,287,0.00110529,0.00211486,0.25087412801624437,0.21980091426904877,0.9156059126222846,0.04404867681037316,False,0.16108,0.12781844413220367,0.12781844413220367,-0.57727,0.71293,1.2902,1.4091215251165017
