"locus","K","theta1","theta2","sigma12","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
996,225,0.0628707589205395,0.196007637504177,3.56448409053405e-07,0.02756,0.8,2000,215,2,213,0.1075,0.466747758732394,0.0208328188242119
643,240,0.0806630249895603,0.353145769683239,3.55358413337362e-07,0.02756,0,2000,436,0,436,0.218,0.0257084583256881,0.0149095579882686
643,240,0.0806630249895603,0.353145769683239,3.55358413337362e-07,0.02756,0.2,2000,434,0,434,0.217,0.159187293133641,0.0148045438972492
643,240,0.0806630249895603,0.353145769683239,3.55358413337362e-07,0.02756,0.4,2000,421,3,418,0.2105,0.285396198677033,0.0143595344762767
643,240,0.0806630249895603,0.353145769683239,3.55358413337362e-07,0.02756,0.6,2000,413,6,407,0.2065,0.443191278427518,0.0143771225078472
643,240,0.0806630249895603,0.353145769683239,3.55358413337362e-07,0.02756,0.8,2000,403,6,397,0.2015,0.541329461989924,0.0138264348701972
1298,251,0.132714029537605,0.347834442394184,3.55915930578354e-07,0.02756,0,2000,804,0,804,0.402,-0.000774424353233831,0.0103547162650024
1298,251,0.132714029537605,0.347834442394184,3.55915930578354e-07,0.02756,0.2,2000,806,0,806,0.403,0.161493675041563,0.010407811311036
1298,251,0.132714029537605,0.347834442394184,3.55915930578354e-07,0.02756,0.4,2000,834,3,831,0.417,0.358960016894104,0.010168650278717
1298,251,0.132714029537605,0.347834442394184,3.55915930578354e-07,0.02756,0.6,2000,783,7,776,0.3915,0.509247118590206,0.00991808522939873
1298,251,0.132714029537605,0.347834442394184,3.55915930578354e-07,0.02756,0.8,2000,820,26,794,0.41,0.631488067112091,0.00939162229165118
379,271,0.0463499713008753,0.731159421330916,3.56674485485474e-07,0.02756,0,2000,263,0,263,0.1315,0.0156929576425856,0.0143896674972399
379,271,0.0463499713008753,0.731159421330916,3.56674485485474e-07,0.02756,0.2,2000,268,0,268,0.134,0.132328872977612,0.0134328056424504
379,271,0.0463499713008753,0.731159421330916,3.56674485485474e-07,0.02756,0.4,2000,274,0,274,0.137,0.232209551824818,0.0139661061837976
379,271,0.0463499713008753,0.731159421330916,3.56674485485474e-07,0.02756,0.6,2000,258,0,258,0.129,0.355795654844961,0.0144882077841506
379,271,0.0463499713008753,0.731159421330916,3.56674485485474e-07,0.02756,0.8,2000,292,0,292,0.146,0.469073341438356,0.0130473775197284
1971,275,0.0463563281093442,0.299667075416603,3.55468309012433e-07,0.02756,0,2000,246,0,246,0.123,0.0100557427235772,0.0198268925087034
1971,275,0.0463563281093442,0.299667075416603,3.55468309012433e-07,0.02756,0.2,2000,273,0,273,0.1365,0.156022106556777,0.0190501965160365
1971,275,0.0463563281093442,0.299667075416603,3.55468309012433e-07,0.02756,0.4,2000,246,1,245,0.123,0.219373242367347,0.021265331284194
1971,275,0.0463563281093442,0.299667075416603,3.55468309012433e-07,0.02756,0.6,2000,261,0,261,0.1305,0.337819279731801,0.0192396952602479
1971,275,0.0463563281093442,0.299667075416603,3.55468309012433e-07,0.02756,0.8,2000,260,4,256,0.13,0.449151428117188,0.0191571086297961
2361,331,0.0463520771189393,0.129476048565991,3.55754084148553e-07,0.02756,0,2000,131,0,131,0.0655,0.00413671152671756,0.0314948709816887
2361,331,0.0463520771189393,0.129476048565991,3.55754084148553e-07,0.02756,0.2,2000,143,0,143,0.0715,0.132515423566434,0.0293126689167042
2361,331,0.0463520771189393,0.129476048565991,3.55754084148553e-07,0.02756,0.4,2000,142,0,142,0.071,0.258577854647887,0.0281541121751263
2361,331,0.0463520771189393,0.129476048565991,3.55754084148553e-07,0.02756,0.6,2000,149,0,149,0.0745,0.330566606375839,0.0307513037917696
2361,331,0.0463520771189393,0.129476048565991,3.55754084148553e-07,0.02756,0.8,2000,143,3,140,0.0715,0.353019601214286,0.0294949603376812
1552,378,0.0478618905052237,0.129754957549303,3.55313987613178e-07,0.02756,0,2000,141,0,141,0.0705,0.0920075871631206,0.029628865324955
1552,378,0.0478618905052237,0.129754957549303,3.55313987613178e-07,0.02756,0.2,2000,159,0,159,0.0795,0.161536511823899,0.0264960697363564
1552,378,0.0478618905052237,0.129754957549303,3.55313987613178e-07,0.02756,0.4,2000,164,1,163,0.082,0.200183008773006,0.0280738240955447
1552,378,0.0478618905052237,0.129754957549303,3.55313987613178e-07,0.02756,0.6,2000,148,0,148,0.074,0.311026494087838,0.0273861355177157
1552,378,0.0478618905052237,0.129754957549303,3.55313987613178e-07,0.02756,0.8,2000,166,1,165,0.083,0.382801522424242,0.025733017520435
1230,382,0.046349048041453,0.129470115604972,3.55773860243753e-07,0.02756,0,2000,156,0,156,0.078,-0.034175043974359,0.0271034965743149
1230,382,0.046349048041453,0.129470115604972,3.55773860243753e-07,0.02756,0.2,2000,164,0,164,0.082,0.123718812134146,0.0286805229454705
1230,382,0.046349048041453,0.129470115604972,3.55773860243753e-07,0.02756,0.4,2000,178,1,177,0.089,0.241571435875706,0.0279321093474478
1230,382,0.046349048041453,0.129470115604972,3.55773860243753e-07,0.02756,0.6,2000,162,2,160,0.081,0.27899207475,0.0276230062411141
1230,382,0.046349048041453,0.129470115604972,3.55773860243753e-07,0.02756,0.8,2000,173,3,170,0.0865,0.412277577941176,0.0254308493245336
1965,451,0.0463642964999867,0.307976322468721,3.54724592566298e-07,0.02756,0,2000,335,0,335,0.1675,0.00227004217910448,0.0149674137612445
