"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
354,126,0.103779679673862,0.140820059055574,13.0762396389066,0.02756,0,2000,115,0,115,0.0575,0.0914482640869565,0.0339668049524337
354,126,0.103779679673862,0.140820059055574,13.0762396389066,0.02756,0.2,2000,105,0,105,0.0525,0.165561184857143,0.0380497955773937
354,126,0.103779679673862,0.140820059055574,13.0762396389066,0.02756,0.4,2000,108,2,106,0.054,0.290926978584906,0.0350927621665813
354,126,0.103779679673862,0.140820059055574,13.0762396389066,0.02756,0.6,2000,124,0,124,0.062,0.343148070080645,0.0329407092264942
354,126,0.103779679673862,0.140820059055574,13.0762396389066,0.02756,0.8,2000,122,2,120,0.061,0.446331666666667,0.0321065864515899
369,195,0.190350005963255,0.586266872354187,37.1182511628348,0.02756,-0.8,2000,1084,40,1044,0.542,-0.696797265996169,0.00698193561791046
369,195,0.190350005963255,0.586266872354187,37.1182511628348,0.02756,-0.6,2000,1084,4,1080,0.542,-0.535687358425926,0.0075036746965971
369,195,0.190350005963255,0.586266872354187,37.1182511628348,0.02756,-0.4,2000,1127,1,1126,0.5635,-0.352949483212256,0.00761335816962248
369,195,0.190350005963255,0.586266872354187,37.1182511628348,0.02756,-0.2,2000,1047,0,1047,0.5235,-0.180843268840497,0.00823725838951452
369,195,0.190350005963255,0.586266872354187,37.1182511628348,0.02756,0,2000,1083,0,1083,0.5415,-0.00627027456971376,0.00773864042541501
369,195,0.190350005963255,0.586266872354187,37.1182511628348,0.02756,0.2,2000,1129,0,1129,0.5645,0.177925052022143,0.00755043439806497
369,195,0.190350005963255,0.586266872354187,37.1182511628348,0.02756,0.4,2000,1094,1,1093,0.547,0.36474543516011,0.00767770393914683
369,195,0.190350005963255,0.586266872354187,37.1182511628348,0.02756,0.6,2000,1076,7,1069,0.538,0.538934401796071,0.00737693143976343
369,195,0.190350005963255,0.586266872354187,37.1182511628348,0.02756,0.8,2000,1099,28,1071,0.5495,0.711622680112045,0.00641448108796938
383,584,0.1039620797188,0.179756939803765,60.713854555779,0.02756,-0.8,2000,914,38,876,0.457,-0.643192150022831,0.00859391896236905
383,584,0.1039620797188,0.179756939803765,60.713854555779,0.02756,-0.6,2000,940,25,915,0.47,-0.50416079352459,0.00954724551562584
383,584,0.1039620797188,0.179756939803765,60.713854555779,0.02756,-0.4,2000,943,3,940,0.4715,-0.350710855957447,0.00946492047833788
383,584,0.1039620797188,0.179756939803765,60.713854555779,0.02756,-0.2,2000,942,1,941,0.471,-0.159289736179596,0.00965640251365772
383,584,0.1039620797188,0.179756939803765,60.713854555779,0.02756,0,2000,943,0,943,0.4715,0.00294768648780488,0.00981332041385722
