"locus","K","lambda_min","n_cells","slope","intercept"
2199,418,109.851623412359,9,1.00583023798003,-0.0036346295319533
2236,305,62.4193703178478,9,0.950463673337886,0.00785714756907974
2246,404,68.251950307945,9,0.942375398026709,0.0078059515960136
2284,425,72.5746317996147,9,0.950455331646517,0.0110242118769619
2341,283,47.9415460802482,9,0.896280495918521,0.0148875367294639
2356,375,63.1210835512394,9,0.932049668487432,0.0120583118122058
2358,359,78.1094689878088,9,0.9753360763985,0.00569029303340052
2368,298,50.7266791931989,9,0.904633614100405,0.0134946024939769
2377,167,28.0797813758636,9,0.818267847342443,0.0295679840205854
2462,140,23.7775642611928,9,0.788476083391073,0.0362462117847558
2475,229,40.1118136848667,9,0.880331747447766,0.0154745206974901
2495,375,147.771709417538,9,1.00990705541093,-0.00283561432568243
