"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
125,333,0.169368024100174,0.396849755907265,56.3995520253581,0.10897,-0.6,2000,1289,13,1276,0.6445,-0.536970208448276,0.00703528146179666
125,333,0.169368024100174,0.396849755907265,56.3995520253581,0.10897,-0.4,2000,1328,4,1324,0.664,-0.368040988700906,0.00704516778178058
125,333,0.169368024100174,0.396849755907265,56.3995520253581,0.10897,-0.2,2000,1345,1,1344,0.6725,-0.186210822949033,0.00686418495432057
125,333,0.169368024100174,0.396849755907265,56.3995520253581,0.10897,0,2000,1374,0,1374,0.687,0.0121156565545852,0.00676867419240067
125,333,0.169368024100174,0.396849755907265,56.3995520253581,0.10897,0.2,2000,1306,1,1305,0.653,0.201130901006897,0.00655455246785704
125,333,0.169368024100174,0.396849755907265,56.3995520253581,0.10897,0.4,2000,1318,2,1316,0.659,0.393946549044073,0.00662358174316939
125,333,0.169368024100174,0.396849755907265,56.3995520253581,0.10897,0.6,2000,1294,4,1290,0.647,0.579044147488372,0.00625119852286137
125,333,0.169368024100174,0.396849755907265,56.3995520253581,0.10897,0.8,2000,1319,26,1293,0.6595,0.74040796129157,0.00545183255076031
224,387,0.206727212958858,0.399012409069325,80.0034314150779,0.10897,-0.8,2000,1687,84,1603,0.8435,-0.752588959918902,0.00499063821216574
224,387,0.206727212958858,0.399012409069325,80.0034314150779,0.10897,-0.6,2000,1712,22,1690,0.856,-0.581875419526627,0.00550669241607029
224,387,0.206727212958858,0.399012409069325,80.0034314150779,0.10897,-0.4,2000,1654,5,1649,0.827,-0.397322457084294,0.00599569688529845
224,387,0.206727212958858,0.399012409069325,80.0034314150779,0.10897,-0.2,2000,1690,0,1690,0.845,-0.196211871056095,0.00578257067982446
224,387,0.206727212958858,0.399012409069325,80.0034314150779,0.10897,0,2000,1683,1,1682,0.8415,0.00464268344827586,0.00550126697549967
224,387,0.206727212958858,0.399012409069325,80.0034314150779,0.10897,0.2,2000,1668,0,1668,0.834,0.209221614067746,0.0054946636745808
224,387,0.206727212958858,0.399012409069325,80.0034314150779,0.10897,0.4,2000,1676,0,1676,0.838,0.405228383400955,0.00527251321534241
224,387,0.206727212958858,0.399012409069325,80.0034314150779,0.10897,0.6,2000,1661,7,1654,0.8305,0.600598521638452,0.00511992220646369
224,387,0.206727212958858,0.399012409069325,80.0034314150779,0.10897,0.8,2000,1683,51,1632,0.8415,0.766789660073529,0.00444973868038028
267,522,0.170055012492636,0.481281845399267,88.768716521156,0.10897,-0.8,2000,1632,47,1585,0.816,-0.756884094006309,0.00461244282279918
267,522,0.170055012492636,0.481281845399267,88.768716521156,0.10897,-0.6,2000,1622,3,1619,0.811,-0.580933999765287,0.00494732732081465
267,522,0.170055012492636,0.481281845399267,88.768716521156,0.10897,-0.4,2000,1661,0,1661,0.8305,-0.388752284924744,0.00499495941392738
267,522,0.170055012492636,0.481281845399267,88.768716521156,0.10897,-0.2,2000,1634,0,1634,0.817,-0.194508548768666,0.00506120801209029
267,522,0.170055012492636,0.481281845399267,88.768716521156,0.10897,0,2000,1618,0,1618,0.809,-0.000422202276885043,0.00491641144120597
267,522,0.170055012492636,0.481281845399267,88.768716521156,0.10897,0.2,2000,1643,0,1643,0.8215,0.201569686284967,0.0048708830145944
267,522,0.170055012492636,0.481281845399267,88.768716521156,0.10897,0.4,2000,1645,0,1645,0.8225,0.407554162584195,0.00467574586014068
267,522,0.170055012492636,0.481281845399267,88.768716521156,0.10897,0.6,2000,1635,1,1634,0.8175,0.596065081340269,0.00462364938716407
267,522,0.170055012492636,0.481281845399267,88.768716521156,0.10897,0.8,2000,1631,25,1606,0.8155,0.775312506849315,0.00414634205250921
278,264,0.166161306596806,0.399347661540453,43.8665849415569,0.10897,-0.8,2000,1135,51,1084,0.5675,-0.67630503800738,0.00709675953336258
278,264,0.166161306596806,0.399347661540453,43.8665849415569,0.10897,-0.6,2000,1133,17,1116,0.5665,-0.512420741719534,0.00801568841174645
278,264,0.166161306596806,0.399347661540453,43.8665849415569,0.10897,-0.4,2000,1128,5,1123,0.564,-0.343069146214604,0.00817645936539438
278,264,0.166161306596806,0.399347661540453,43.8665849415569,0.10897,-0.2,2000,1126,0,1126,0.563,-0.165251026293428,0.00846655031350369
278,264,0.166161306596806,0.399347661540453,43.8665849415569,0.10897,0,2000,1091,0,1091,0.5455,0.0210881833987168,0.00812820212032252
278,264,0.166161306596806,0.399347661540453,43.8665849415569,0.10897,0.2,2000,1095,1,1094,0.5475,0.195679326261426,0.00830887956637677
278,264,0.166161306596806,0.399347661540453,43.8665849415569,0.10897,0.4,2000,1107,3,1104,0.5535,0.372126719412138,0.00804015249932853
278,264,0.166161306596806,0.399347661540453,43.8665849415569,0.10897,0.6,2000,1174,6,1168,0.587,0.55848618192637,0.00700068789530656
278,264,0.166161306596806,0.399347661540453,43.8665849415569,0.10897,0.8,2000,1088,30,1058,0.544,0.712944150418715,0.00668361772068849
377,288,0.397218511738964,0.397941568949904,114.398931380822,0.10897,-0.8,2000,1970,101,1869,0.985,-0.780858084216158,0.00410561238526106
377,288,0.397218511738964,0.397941568949904,114.398931380822,0.10897,-0.6,2000,1968,21,1947,0.984,-0.615931139409348,0.00491499565213794
377,288,0.397218511738964,0.397941568949904,114.398931380822,0.10897,-0.4,2000,1967,1,1966,0.9835,-0.41703571628179,0.0048362562727455
377,288,0.397218511738964,0.397941568949904,114.398931380822,0.10897,-0.2,2000,1971,1,1970,0.9855,-0.216859519350102,0.00481423651880707
377,288,0.397218511738964,0.397941568949904,114.398931380822,0.10897,0,2000,1971,0,1971,0.9855,-0.00232738847590056,0.00475823626726058
377,288,0.397218511738964,0.397941568949904,114.398931380822,0.10897,0.2,2000,1965,0,1965,0.9825,0.202182434882188,0.00464158733126879
377,288,0.397218511738964,0.397941568949904,114.398931380822,0.10897,0.4,2000,1968,0,1968,0.984,0.409636301063516,0.00455648603647617
377,288,0.397218511738964,0.397941568949904,114.398931380822,0.10897,0.6,2000,1969,7,1962,0.9845,0.610496148756371,0.00431395482518257
377,288,0.397218511738964,0.397941568949904,114.398931380822,0.10897,0.8,2000,1980,44,1936,0.99,0.799844505165289,0.00365359905595363
404,402,0.169079568099605,0.40016682751726,67.9699863760413,0.10897,-0.8,2000,1423,54,1369,0.7115,-0.731789874433893,0.00571817620042315
404,402,0.169079568099605,0.40016682751726,67.9699863760413,0.10897,-0.6,2000,1460,12,1448,0.73,-0.558052373763812,0.00616856769975139
404,402,0.169079568099605,0.40016682751726,67.9699863760413,0.10897,-0.4,2000,1472,2,1470,0.736,-0.374136526831293,0.00631494574304185
404,402,0.169079568099605,0.40016682751726,67.9699863760413,0.10897,-0.2,2000,1486,0,1486,0.743,-0.188668398083445,0.00579159585944317
404,402,0.169079568099605,0.40016682751726,67.9699863760413,0.10897,0,2000,1454,0,1454,0.727,0.0105318890577717,0.00628301968535817
404,402,0.169079568099605,0.40016682751726,67.9699863760413,0.10897,0.2,2000,1442,0,1442,0.721,0.197806527393204,0.00590766859754297
404,402,0.169079568099605,0.40016682751726,67.9699863760413,0.10897,0.4,2000,1463,1,1462,0.7315,0.40381500493844,0.00581775267522949
404,402,0.169079568099605,0.40016682751726,67.9699863760413,0.10897,0.6,2000,1457,8,1449,0.7285,0.591415903247067,0.00538134379845847
404,402,0.169079568099605,0.40016682751726,67.9699863760413,0.10897,0.8,2000,1482,35,1447,0.741,0.748511429302004,0.00498320073424556
417,336,0.169461354916603,0.395050295919776,56.9390152519787,0.10897,-0.8,2000,1302,53,1249,0.651,-0.713454308086469,0.00608352206975898
417,336,0.169461354916603,0.395050295919776,56.9390152519787,0.10897,-0.6,2000,1322,22,1300,0.661,-0.540799029084615,0.00671569185393357
417,336,0.169461354916603,0.395050295919776,56.9390152519787,0.10897,-0.4,2000,1303,5,1298,0.6515,-0.384613978761171,0.00693370296884437
417,336,0.169461354916603,0.395050295919776,56.9390152519787,0.10897,-0.2,2000,1344,0,1344,0.672,-0.178168750770833,0.00695705774969837
417,336,0.169461354916603,0.395050295919776,56.9390152519787,0.10897,0,2000,1328,0,1328,0.664,0.011552846309488,0.0068505393599883
417,336,0.169461354916603,0.395050295919776,56.9390152519787,0.10897,0.2,2000,1328,0,1328,0.664,0.186018730353163,0.00693796298561537
417,336,0.169461354916603,0.395050295919776,56.9390152519787,0.10897,0.4,2000,1347,0,1347,0.6735,0.393212557449889,0.00666994513136342
417,336,0.169461354916603,0.395050295919776,56.9390152519787,0.10897,0.6,2000,1334,6,1328,0.667,0.573146180587349,0.00616945401109413
417,336,0.169461354916603,0.395050295919776,56.9390152519787,0.10897,0.8,2000,1318,48,1270,0.659,0.736091840551181,0.00556299314053135
421,328,0.167086510453278,0.393314268450544,54.8043754286752,0.10897,-0.8,2000,1303,67,1236,0.6515,-0.707236975555016,0.00615831414869252
421,328,0.167086510453278,0.393314268450544,54.8043754286752,0.10897,-0.6,2000,1295,15,1280,0.6475,-0.5383314048125,0.00708682230548447
421,328,0.167086510453278,0.393314268450544,54.8043754286752,0.10897,-0.4,2000,1299,2,1297,0.6495,-0.358551887970702,0.00737769383856896
421,328,0.167086510453278,0.393314268450544,54.8043754286752,0.10897,-0.2,2000,1324,0,1324,0.662,-0.168661832805665,0.00697800508283282
421,328,0.167086510453278,0.393314268450544,54.8043754286752,0.10897,0,2000,1263,0,1263,0.6315,0.0185740998543151,0.00714705235287082
421,328,0.167086510453278,0.393314268450544,54.8043754286752,0.10897,0.2,2000,1280,0,1280,0.64,0.19658299346875,0.00679654272982886
