"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
42,192,0.129848348484159,0.401932622845577,24.9308829089586,0.21388,-0.4,2000,652,2,650,0.326,-0.241905246970769,0.0123519611858491
42,192,0.129848348484159,0.401932622845577,24.9308829089586,0.21388,-0.2,2000,657,0,657,0.3285,-0.0996794658447489,0.0126249836346393
42,192,0.129848348484159,0.401932622845577,24.9308829089586,0.21388,0,2000,652,0,652,0.326,0.0673929779907975,0.0114851928984655
42,192,0.129848348484159,0.401932622845577,24.9308829089586,0.21388,0.2,2000,643,0,643,0.3215,0.229507535940902,0.0109564764468395
42,192,0.129848348484159,0.401932622845577,24.9308829089586,0.21388,0.4,2000,633,0,633,0.3165,0.378723859026856,0.0108420971572385
42,192,0.129848348484159,0.401932622845577,24.9308829089586,0.21388,0.6,2000,642,4,638,0.321,0.525841455250784,0.0101365140679362
42,192,0.129848348484159,0.401932622845577,24.9308829089586,0.21388,0.8,2000,651,12,639,0.3255,0.687987898748044,0.00905750304664841
77,227,0.157357029578933,0.398078586216597,35.7200457144177,0.21388,-0.8,2000,952,48,904,0.476,-0.608335938473451,0.00875117058475753
77,227,0.157357029578933,0.398078586216597,35.7200457144177,0.21388,-0.6,2000,929,12,917,0.4645,-0.475006207022901,0.00968820674589802
77,227,0.157357029578933,0.398078586216597,35.7200457144177,0.21388,-0.4,2000,966,4,962,0.483,-0.30237053012578,0.00927852936093044
77,227,0.157357029578933,0.398078586216597,35.7200457144177,0.21388,-0.2,2000,931,0,931,0.4655,-0.122341060915897,0.00943129857501843
77,227,0.157357029578933,0.398078586216597,35.7200457144177,0.21388,0,2000,970,0,970,0.485,0.0325081282,0.00890182683039814
77,227,0.157357029578933,0.398078586216597,35.7200457144177,0.21388,0.2,2000,964,0,964,0.482,0.228642645273859,0.00861564063136663
77,227,0.157357029578933,0.398078586216597,35.7200457144177,0.21388,0.4,2000,897,0,897,0.4485,0.397435871594203,0.00856527445802233
77,227,0.157357029578933,0.398078586216597,35.7200457144177,0.21388,0.6,2000,922,2,920,0.461,0.566687627967391,0.00820145378664599
